grid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.5721153846153846,0.22115384615384615,0.09134615384615384,0.057692307692307696,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.0,0.0,0.0,0.0,0.0
2,0.25943396226415094,0.3584905660377358,0.14150943396226415,0.06132075471698113,0.04245283018867924,0.02358490566037736,0.03773584905660377,0.014150943396226415,0.009433962264150943,0.0047169811320754715,0.018867924528301886,0.0,0.0,0.0,0.0047169811320754715,0.0047169811320754715,0.0047169811320754715,0.0,0.009433962264150943,0.0047169811320754715
3,0.11483253588516747,0.19617224880382775,0.28708133971291866,0.12440191387559808,0.09569377990430622,0.05741626794258373,0.03827751196172249,0.019138755980861243,0.028708133971291867,0.014354066985645933,0.0,0.004784688995215311,0.0,0.004784688995215311,0.0,0.0,0.009569377990430622,0.004784688995215311,0.0,0.0
4,0.04411764705882353,0.14215686274509803,0.19607843137254902,0.24509803921568626,0.15196078431372548,0.06862745098039216,0.06372549019607843,0.014705882352941176,0.014705882352941176,0.0196078431372549,0.004901960784313725,0.0,0.00980392156862745,0.004901960784313725,0.004901960784313725,0.0,0.00980392156862745,0.004901960784313725,0.0,0.0
5,0.02030456852791878,0.06091370558375635,0.1116751269035533,0.20304568527918782,0.16751269035532995,0.116751269035533,0.05583756345177665,0.07614213197969544,0.04060913705583756,0.04568527918781726,0.02030456852791878,0.02030456852791878,0.0,0.02030456852791878,0.005076142131979695,0.01015228426395939,0.015228426395939087,0.01015228426395939,0.0,0.0
6,0.03414634146341464,0.02926829268292683,0.0975609756097561,0.11707317073170732,0.16585365853658537,0.1951219512195122,0.08780487804878048,0.07317073170731707,0.05853658536585366,0.02926829268292683,0.014634146341463415,0.024390243902439025,0.024390243902439025,0.014634146341463415,0.00975609756097561,0.014634146341463415,0.004878048780487805,0.004878048780487805,0.0,0.0
7,0.0049504950495049506,0.0297029702970297,0.039603960396039604,0.024752475247524754,0.12376237623762376,0.19801980198019803,0.17326732673267325,0.09405940594059406,0.07920792079207921,0.04950495049504951,0.04950495049504951,0.04455445544554455,0.034653465346534656,0.009900990099009901,0.024752475247524754,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0
8,0.005291005291005291,0.005291005291005291,0.026455026455026454,0.07936507936507936,0.07936507936507936,0.10052910052910052,0.12169312169312169,0.13227513227513227,0.12698412698412698,0.08994708994708994,0.06349206349206349,0.042328042328042326,0.05291005291005291,0.010582010582010581,0.037037037037037035,0.010582010582010581,0.010582010582010581,0.0,0.0,0.005291005291005291
9,0.005208333333333333,0.010416666666666666,0.020833333333333332,0.078125,0.0625,0.08333333333333333,0.14583333333333334,0.11979166666666667,0.11979166666666667,0.078125,0.0625,0.0625,0.078125,0.036458333333333336,0.03125,0.0,0.0,0.0,0.005208333333333333,0.0
10,0.021621621621621623,0.010810810810810811,0.016216216216216217,0.010810810810810811,0.043243243243243246,0.05405405405405406,0.12432432432432433,0.0972972972972973,0.14594594594594595,0.12972972972972974,0.07567567567567568,0.07027027027027027,0.05945945945945946,0.05405405405405406,0.016216216216216217,0.021621621621621623,0.02702702702702703,0.010810810810810811,0.005405405405405406,0.005405405405405406
11,0.0,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.06842105263157895,0.05263157894736842,0.09473684210526316,0.10526315789473684,0.1,0.06315789473684211,0.14210526315789473,0.06315789473684211,0.07894736842105263,0.06315789473684211,0.021052631578947368,0.031578947368421054,0.04736842105263158,0.015789473684210527,0.0,0.0
12,0.0,0.0,0.016853932584269662,0.016853932584269662,0.028089887640449437,0.06179775280898876,0.056179775280898875,0.11235955056179775,0.07303370786516854,0.10112359550561797,0.15168539325842698,0.10112359550561797,0.0898876404494382,0.056179775280898875,0.0449438202247191,0.056179775280898875,0.016853932584269662,0.016853932584269662,0.0,0.0
13,0.0,0.0,0.01098901098901099,0.005494505494505495,0.005494505494505495,0.04945054945054945,0.04395604395604396,0.08791208791208792,0.1043956043956044,0.13186813186813187,0.07692307692307693,0.10989010989010989,0.08791208791208792,0.08791208791208792,0.08241758241758242,0.04945054945054945,0.03296703296703297,0.016483516483516484,0.016483516483516484,0.0
14,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.0,0.0,0.016304347826086956,0.016304347826086956,0.06521739130434782,0.03804347826086957,0.125,0.09239130434782608,0.08152173913043478,0.14130434782608695,0.10326086956521739,0.09782608695652174,0.10326086956521739,0.043478260869565216,0.02717391304347826,0.021739130434782608,0.0
15,0.0,0.0053475935828877,0.0106951871657754,0.03208556149732621,0.0213903743315508,0.026737967914438502,0.016042780748663103,0.053475935828877004,0.0374331550802139,0.09090909090909091,0.08021390374331551,0.10160427807486631,0.13903743315508021,0.12834224598930483,0.09090909090909091,0.058823529411764705,0.0481283422459893,0.0374331550802139,0.016042780748663103,0.0053475935828877
16,0.0,0.0,0.00546448087431694,0.02185792349726776,0.01092896174863388,0.02185792349726776,0.0273224043715847,0.0273224043715847,0.04918032786885246,0.0546448087431694,0.12021857923497267,0.10382513661202186,0.06557377049180328,0.11475409836065574,0.09836065573770492,0.09289617486338798,0.08743169398907104,0.0546448087431694,0.03278688524590164,0.01092896174863388
17,0.00546448087431694,0.0,0.0,0.0,0.01639344262295082,0.00546448087431694,0.01092896174863388,0.0273224043715847,0.04371584699453552,0.03825136612021858,0.09836065573770492,0.12568306010928962,0.1092896174863388,0.09836065573770492,0.11475409836065574,0.10382513661202186,0.09289617486338798,0.04918032786885246,0.04371584699453552,0.01639344262295082
18,0.0,0.005434782608695652,0.0,0.005434782608695652,0.005434782608695652,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.03804347826086957,0.059782608695652176,0.04891304347826087,0.10326086956521739,0.05434782608695652,0.11413043478260869,0.1358695652173913,0.11413043478260869,0.125,0.07065217391304347,0.043478260869565216,0.021739130434782608
19,0.0,0.0,0.011363636363636364,0.005681818181818182,0.03409090909090909,0.005681818181818182,0.005681818181818182,0.03409090909090909,0.028409090909090908,0.03409090909090909,0.03977272727272727,0.07954545454545454,0.06818181818181818,0.10227272727272728,0.13068181818181818,0.14772727272727273,0.125,0.06818181818181818,0.05113636363636364,0.022727272727272728
20,0.0,0.014598540145985401,0.014598540145985401,0.029197080291970802,0.0,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.051094890510948905,0.029197080291970802,0.0364963503649635,0.08029197080291971,0.08759124087591241,0.12408759124087591,0.0948905109489051,0.13138686131386862,0.06569343065693431,0.10948905109489052,0.058394160583941604,0.021897810218978103
